artist_name,song_name,recording_id,SPOTIFY_URL,ALBUM_NAME,ALBUM_RELEASE_DATE,DURATION_MS,POPULARITY
gunplay,food chain,bfcc97fd-7be9-4ad3-8722-1c86299d4923,https://open.spotify.com/track/4IU33qQwEkfP7rxlPc73UA,Tetsuo & Youth,2015-01-20,572546,29
gunplay,m1,cbc19aea-a04c-4ac7-bb0d-b6018b7e2e86,https://open.spotify.com/track/67VkC5WDCtPmI6rJvFEkVa,Best of Messy Marv 2005-2010 (Vol. 1),2023-09-15,234800,0
isaiah rashad,fake trill,827aea56-0c6d-4454-b336-e5c08e5cb975,https://open.spotify.com/track/7Bcj23aQglPucMxAr5a7E5,Boom Bap Vibe 4 Da Soul,2023-04-14,226750,2
the lost children of babylon,the entered apprentice,13cf7772-9d1b-49e8-979e-783ac194b990,https://open.spotify.com/track/7DdTRCakmvltiwh0NsdcUK,The Amber Probe EP,2010-12-21,237039,3
dj khaled,i wish you would,670ba3ae-f266-4b88-986e-8d4f500bf0f5,https://open.spotify.com/track/6BSpk93XTt2CJ7gpROG6zU,The Next Rap God 2,2021-11-24,1207970,39
chris brown,party hard / cadillac interlude,279587cd-6926-4329-8795-6586f38bafc5,https://open.spotify.com/track/59FB3VVnwQRZRzRwSVb2Iw,Wall To Wall,2007-05-29,270160,44
a$ap rocky,ridin,e300b15f-d709-4cb5-95b8-2af631192988,https://open.spotify.com/track/2gyyLhi5U0u93JUKd5BdDu,Calendars,2020-06-26,249280,17
josh baze,hollyhood,c14b20eb-bc7c-4295-a3f8-7d9a51070f08,https://open.spotify.com/track/4puNTw65kOFfybWKrXo7ZU,Sierra Making Hatar,2024-01-08,149655,34
future,go harder,4e33b73c-bfed-4123-b5e9-332ebefc1e78,https://open.spotify.com/track/14IG33rFUTSjBPzVcPfQKa,"March 2012 Urban Hits Karaoke (R&B, Hip Hop)",2012-01-31,250356,0
m.i.,paradise,12ab458f-1519-4e44-b2cd-4639dc8b028c,https://open.spotify.com/track/3bnOXBkSxfSSCioTw1LcVc,The Stone Roses (20th Anniversary Collector's Edition),1989-05-03,166800,50
m.i.,nothing,4e068f2a-2073-4fd0-a8d1-99b57ff69af7,https://open.spotify.com/track/4bO6DljpuAeQh6HS20i0I5,Brothers In Arms - 20th Anniversary Edition,1985-05-13,504333,69
"royce da 5'9""",pick ma balls up drop the world freestyle,45de0a93-82d8-494d-b904-8318f4400e56,https://open.spotify.com/track/5qmQCfNNLcm93A3fDKylCd,NOROESTE,2024-12-10,173682,42
usher,numb,08a348fb-93db-45c3-b561-c3006e0ae00e,https://open.spotify.com/track/7rYUucxHoPGPSB6iRKrFtB,Europa FM (2013),2013-03-12,230560,1
gangrene,all bad,ae03777b-178c-45f8-8f98-c6fb313813dd,https://open.spotify.com/track/67LKV40NfSSGIJnm0xz6fi,BUENAS NOCHES,2024-11-22,165762,74
juicy j,knock u out,beacfcd4-7908-4066-9211-393392048a85,https://open.spotify.com/track/1LCWbs2rs068egecjcnFuJ,Gum,2022-09-23,177711,0
alicia keys,new day,ce5c1014-0828-473f-a4f6-1c773523ee82,https://open.spotify.com/track/55HgyfEki0BiJVPZo2Z2qY,Alicia Keys - VH1 Storytellers,2013-06-23,288360,14
dot rotten,overload,63b7d6d3-a378-4006-b202-028481fd8dae,https://open.spotify.com/track/1R2KboY7n5G7RC3ZAgMipR,Overload (Originally Performed By Dot Rotten) [Karaoke Audio Version],2012-06-21,187907,0
gangrene,gutter water,499fdc68-15b8-4386-aa2b-83543c4f18cb,https://open.spotify.com/track/4rRDWm0CPbyqaXdletR3SP,Gutter Water,2010-11-22,196360,9
simon & garfunkel,you dont know where youre interest lies,efc50900-dc6b-4001-9352-45b91a317f0a,https://open.spotify.com/track/6sIxdSgR1qM0DZ1zbeJTMu,Bookends,1968-04-03,32213,40
cancer bats,road sick,6041f055-6392-4058-9c5a-841000184eeb,https://open.spotify.com/track/7zhLeMZuilDQAuTKi4ukkQ,Time,2018-09-11,245681,26
broken,hate,b3cf2acb-5674-41f5-91fb-24250e563ee5,https://open.spotify.com/track/2kqVsmKTc16KBSsGI5v57Q,Touch (2018 Remastered),1983-11-14,323280,14
rabbit,sofuckinfine,fd803441-95d5-455d-bee4-fcfc509184d4,https://open.spotify.com/track/4z8SxgCpyQoL0lJRLWeSCK,Rabbit Hole,2024-12-27,162281,48
millionaires,he got it all,2d2e6d52-45d5-4a57-8eb8-6a24ef25b7ba,https://open.spotify.com/track/0r6uD6Ay1jonQHID1HVlyZ,Unfuckwitable (Deluxe Edition),2021-05-14,173236,42
celo & abdi,traffic cartel,1c467a16-bc71-4607-a1e9-2187b7d25a6a,https://open.spotify.com/track/6HRGCmCwfzAAGxuAl43SGX,Diaspora,2017-10-27,222333,16
ellie goulding,lights,d0aa4ea5-58de-41e1-b8c6-d1dd017e5120,https://open.spotify.com/track/5P9exvsk9y6jtZQOTevxGa,Workout Mix 2021,2021-01-15,276626,30
te-tris,prawo 2021,b1d38622-524b-40c5-93a8-f0390e2d3146,https://open.spotify.com/track/72MBKaGf7Omg2H4S46E5Xg,Dj Decks MIXTAPE 3,2018-01-01,195558,11
rim'k,gps,b7f42fdd-6447-4fcc-92e0-7ba648e6ca07,https://open.spotify.com/track/6lv2pxDuQ5e2xVnqFC8z5K,Universel,2010-12-06,262266,17
canardo,mauvais plan,e7623584-9cc2-46c5-b501-46eb5285e542,https://open.spotify.com/track/35RhotpiQ80rauI4WVBuNd,A La Youv,2012-07-16,236213,14
midnight beast,medium pimpin,04914cc3-e13e-4011-9c8e-1109f072e385,https://open.spotify.com/track/6YnGmjnRdXaBacHQC0fo7n,The Midnight Beast,2012-09-10,150480,15
madchild,under a spell,70740b72-634b-48b6-8a98-4026d5b21316,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY,AM,2013-09-09,193030,76
lil b,bout dat wo,1a496937-d7d6-4708-bad0-a88d84953910,https://open.spotify.com/track/4ojsEcM7nbIDAFsEdceIHp,creamy crocodile,2023-02-28,89089,4
gangrene,gladiator music,86bb065a-8674-4273-9170-7b0595669cce,https://open.spotify.com/track/1dGY0VQ8zaMoQBdwGiR98j,King Of Pain,2011-08-02,220960,19
big k.r.i.t.,hometeam,6315b49c-f268-4762-bdad-63a1439fadbd,https://open.spotify.com/track/1eLU27PPFxBhbp1CBjPh9J,LONG.LIVE.A$AP (Deluxe Version),2013,372173,61
gangrene,flame throwers,0d2fdfc4-3e68-41e4-afae-66d5b8134d2b,https://open.spotify.com/track/7ad09YMbdFaOx29cxesVIy,Where is my Invitation?,2022-12-24,184789,6
lil b,i got mo based freestyle,fb77013d-6eab-4395-8001-24278378e3ad,https://open.spotify.com/track/2EIb8F9DQFvA6YwZk8zl9a,#1 Bitch,2012-03-30,293392,6
8ball,immaculate perception,f27c6459-2475-4aaa-ace1-d49b93f6b9c5,https://open.spotify.com/track/1NY1XNAiu0jc10xzyL9CYE,Never Turn Down 5,2012-03-05,256626,9
slaughterhouse,throw it away,c29754b2-718b-409a-95b9-72a3256919f5,https://open.spotify.com/track/3VHaYl92cGYNJd5BQqjnkX,No Name Droppin,2022-09-20,171547,50
8ball,drought,33689a89-ddbe-4e3d-87e3-915f9b46e119,https://open.spotify.com/track/0hVeaXzM7y8Y1ahaOA8XkI,Can't Stand It,2024-01-25,192774,29
8ball,allergic,3ff8beb6-337e-46f3-a813-1b24eae8477f,https://open.spotify.com/track/0dHStOAq9h21i4X7mbN3wT,808,2020-11-27,124000,52
8ball,showed up,7af0a9bc-1739-4302-b918-6458edc0c045,https://open.spotify.com/track/5k2W3VwKqAahi18AwCSkWo,Two-Face Bang 2,2022-04-29,132515,26
blu,lucky,e6fd29a1-9f5e-443b-8fe4-28f7629cc1bc,https://open.spotify.com/track/6YzoRWNju6qQ2hMMKgnWye,Chill Out Dance,2016-10-03,220378,1
